CODGEO;LIBGEO;Abstention;La France Insoumise;Parti Communiste;PS - Place Publique;Les Écologistes;Renaissance;Les Républicains;Reconquête;Rassemblement National;Parti Animaliste;Divers
01336;Saint-André-sur-Vieux-Jonc;382;26;8;59;17;88;36;16;250;11;43
01337;Saint-Bénigne;415;21;16;54;20;79;48;29;194;17;51
01338;Groslée-Saint-Benoit;415;25;12;35;18;90;37;33;239;10;45
01339;Saint-Bernard;540;21;18;105;40;162;78;51;237;16;50
01342;Sainte-Croix;145;26;4;20;18;40;32;22;95;12;26
01343;Saint-Cyr-sur-Menthon;682;22;3;77;27;82;57;49;300;11;47
01344;Saint-Denis-lès-Bourg;1964;211;49;417;132;474;185;157;752;41;229
01345;Saint-Denis-en-Bugey;755;83;23;82;26;101;55;53;435;9;59
01346;Saint-Didier-d'Aussiat;269;14;2;35;15;48;31;15;125;4;42
01347;Saint-Didier-de-Formans;667;62;18;157;73;201;89;41;371;18;43
01348;Saint-Didier-sur-Chalaronne;1086;34;9;88;44;180;86;88;509;17;95
01349;Saint-Eloi;176;10;4;30;19;38;27;10;78;4;18
01350;Saint-Etienne-du-Bois;857;58;30;129;45;177;101;68;427;19;96
01351;Saint-Etienne-sur-Chalaronne;610;18;4;46;19;60;45;40;308;23;61
01352;Saint-Etienne-sur-Reyssouze;177;9;2;19;9;29;18;11;121;4;20
01353;Sainte-Euphémie;465;41;6;92;32;122;49;47;241;14;46
01354;Saint-Genis-Pouilly;3122;437;35;311;179;469;151;150;477;45;205
01355;Saint-Genis-sur-Menthon;171;4;6;26;4;24;24;12;88;3;21
01356;Saint-Georges-sur-Renon;66;3;0;7;9;13;9;7;50;1;15
01357;Saint-Germain-de-Joux;138;7;3;12;10;12;10;7;47;0;19
01358;Saint-Germain-les-Paroisses;103;10;6;20;12;35;22;20;73;3;21
01359;Saint-Germain-sur-Renon;91;1;0;7;3;9;9;5;54;2;10
01360;Saint-Jean-de-Gonville;533;41;9;81;52;105;28;47;158;9;42
01361;Saint-Jean-de-Niost;496;32;18;96;44;134;61;56;359;18;54
01362;Saint-Jean-de-Thurigneux;204;17;9;37;12;64;40;27;155;5;20
01363;Saint-Jean-le-Vieux;613;44;24;94;41;100;47;36;352;12;53
01364;Saint-Jean-sur-Reyssouze;289;11;11;27;9;25;14;17;122;12;23
01365;Saint-Jean-sur-Veyle;414;18;12;41;21;80;34;16;185;6;37
01366;Sainte-Julie;261;32;8;40;25;48;29;29;219;11;35
01367;Saint-Julien-sur-Reyssouze;207;9;4;16;13;26;26;17;123;6;13
01368;Saint-Julien-sur-Veyle;217;5;7;41;19;48;29;18;143;9;41
01369;Saint-Just;328;33;7;71;22;69;39;31;140;10;32
01370;Saint-Laurent-sur-Saône;562;41;15;80;22;58;21;21;161;10;31
01371;Saint-Marcel;457;30;9;50;21;52;38;35;198;13;46
01372;Saint-Martin-de-Bavel;149;18;6;41;13;36;7;4;53;2;23
01373;Saint-Martin-du-Frêne;317;16;3;29;11;61;47;29;170;5;28
01374;Saint-Martin-du-Mont;588;42;14;93;62;122;65;52;349;8;74
01375;Saint-Martin-le-Châtel;259;16;8;28;27;42;27;18;160;8;45
01376;Saint-Maurice-de-Beynost;1147;219;19;145;74;176;91;66;419;28;80
01378;Saint-Maurice-de-Gourdans;923;59;12;116;39;160;87;89;597;31;96
01379;Saint-Maurice-de-Rémens;240;16;8;26;11;25;20;15;149;3;27
01380;Saint-Nizier-le-Bouchoux;213;11;8;20;7;45;27;17;125;5;29
01381;Saint-Nizier-le-Désert;245;19;0;38;16;30;21;26;189;3;40
01382;Sainte-Olive;100;4;3;10;6;32;8;7;71;3;7
01383;Saint-Paul-de-Varax;520;31;7;43;9;73;30;52;307;8;45
01384;Saint-Rambert-en-Bugey;724;45;18;72;20;56;18;37;252;15;40
01385;Saint-Rémy;312;12;8;60;18;72;33;34;180;12;43
01386;Saint-Sorlin-en-Bugey;354;20;13;71;24;94;45;23;185;7;47
01387;Saint-Sulpice;64;3;3;8;7;11;11;2;44;4;10
01388;Saint-Trivier-de-Courtes;338;6;4;14;7;70;34;21;163;9;30
01389;Saint-Trivier-sur-Moignans;541;25;7;73;24;78;54;49;365;5;43
