CODGEO;LIBGEO;Abstention;Extrême-Gauche;NFP;Divers Gauche;Ensemble;Divers Centre;LR;RN;Reconquête;Divers
24526;Savignac-Lédrier;124;4.0;74.0;0.0;137.0;0.0;25.0;162.0;0.0;0.0
24527;Savignac-les-Eglises;219;9.0;136.0;0.0;84.0;0.0;32.0;233.0;0.0;0.0
24528;Sceau-Saint-Angel;17;1.0;20.0;0.0;29.0;0.0;5.0;27.0;0.0;0.0
24529;Segonzac;36;3.0;50.0;0.0;13.0;0.0;7.0;52.0;0.0;0.0
24531;Sergeac;46;3.0;72.0;0.0;0.0;25.0;10.0;26.0;2.0;0.0
24532;Serres-et-Montguyard;33;2.0;26.0;0.0;17.0;0.0;5.0;44.0;0.0;0.0
24533;Servanches;24;0.0;17.0;0.0;6.0;0.0;5.0;22.0;0.0;0.0
24534;Sigoulès-et-Flaugeac;281;12.0;163.0;0.0;116.0;0.0;76.0;270.0;0.0;0.0
24535;Simeyrols;38;0.0;62.0;0.0;0.0;22.0;5.0;93.0;0.0;0.0
24536;Singleyrac;34;3.0;36.0;0.0;30.0;0.0;9.0;80.0;0.0;0.0
24537;Siorac-de-Ribérac;36;6.0;44.0;0.0;29.0;0.0;9.0;73.0;0.0;0.0
24538;Siorac-en-Périgord;264;3.0;171.0;0.0;11.0;91.0;32.0;171.0;3.0;0.0
24540;Sorges et Ligueux en Périgord;317;5.0;292.0;0.0;269.0;0.0;54.0;352.0;0.0;0.0
24541;Soudat;19;2.0;11.0;0.0;14.0;0.0;0.0;15.0;0.0;0.0
24542;Soulaures;19;1.0;2.0;0.0;5.0;0.0;4.0;17.0;0.0;0.0
24543;Sourzac;217;5.0;153.0;0.0;146.0;0.0;31.0;290.0;6.0;0.0
24544;Tamniès;85;1.0;115.0;0.0;5.0;59.0;11.0;83.0;4.0;0.0
24545;Teillots;18;0.0;14.0;0.0;0.0;18.0;7.0;25.0;0.0;0.0
24546;Temple-Laguyon;9;1.0;8.0;0.0;0.0;1.0;3.0;8.0;0.0;0.0
24547;Terrasson-Lavilledieu;1413;36.0;936.0;0.0;109.0;352.0;212.0;1049.0;34.0;0.0
24548;Teyjat;50;3.0;42.0;0.0;46.0;0.0;20.0;64.0;0.0;0.0
24549;Thénac;80;7.0;58.0;0.0;36.0;0.0;13.0;90.0;0.0;0.0
24550;Thenon;270;5.0;193.0;0.0;17.0;74.0;73.0;274.0;6.0;0.0
24551;Thiviers;591;21.0;332.0;0.0;396.0;0.0;127.0;524.0;0.0;0.0
24552;Thonac;40;0.0;57.0;0.0;0.0;34.0;12.0;68.0;1.0;0.0
24553;Tocane-Saint-Apre;328;15.0;295.0;0.0;194.0;0.0;62.0;328.0;0.0;0.0
24554;La Tour-Blanche-Cercles;124;2.0;92.0;0.0;67.0;0.0;21.0;133.0;0.0;0.0
24555;Tourtoirac;118;5.0;115.0;0.0;0.0;38.0;26.0;147.0;2.0;0.0
24557;Trélissac;1377;54.0;1076.0;0.0;1052.0;0.0;203.0;1192.0;49.0;6.0
24558;Trémolat;99;1.0;87.0;0.0;0.0;47.0;26.0;117.0;6.0;0.0
24559;Tursac;43;1.0;91.0;0.0;0.0;30.0;10.0;64.0;3.0;0.0
24560;Urval;23;2.0;37.0;0.0;27.0;0.0;11.0;16.0;0.0;0.0
24562;Vallereuil;50;2.0;56.0;0.0;56.0;0.0;4.0;64.0;2.0;0.0
