CODGEO;LIBGEO;Abstention;Extrême-Gauche;NUPES;Divers Gauche;Ensemble;Divers Droite;Droite souverainiste;LR;RN;Reconquête;Divers
28217;Louvilliers-lès-Perche;71.0;0.0;7.0;5.0;13.0;0.0;0.0;28.0;12.0;3.0;0.0
28223;Luray;515.0;4.0;113.0;11.0;100.0;0.0;4.0;116.0;94.0;11.0;0.0
28226;Maillebois;371.0;4.0;57.0;10.0;65.0;0.0;4.0;103.0;99.0;14.0;0.0
28231;La Mancelière;57.0;0.0;8.0;3.0;7.0;0.0;1.0;19.0;12.0;1.0;0.0
28235;Marchezais;132.0;2.0;33.0;7.0;22.0;0.0;2.0;44.0;43.0;5.0;0.0
28239;Marville-Moutiers-Brûlé;364.0;1.0;43.0;10.0;67.0;0.0;3.0;81.0;124.0;19.0;0.0
28247;Le Mesnil-Simon;217.0;1.0;41.0;5.0;21.0;0.0;0.0;69.0;61.0;6.0;0.0
28248;Le Mesnil-Thomas;135.0;0.0;21.0;0.0;21.0;0.0;1.0;44.0;32.0;4.0;0.0
28251;Mézières-en-Drouais;371.0;3.0;70.0;20.0;84.0;0.0;4.0;94.0;98.0;15.0;0.0
28263;Montigny-sur-Avre;99.0;1.0;7.0;1.0;12.0;0.0;2.0;38.0;42.0;3.0;0.0
28267;Montreuil;175.0;0.0;30.0;9.0;41.0;0.0;2.0;58.0;64.0;12.0;0.0
28271;Morvilliers;52.0;1.0;9.0;5.0;6.0;0.0;0.0;28.0;20.0;2.0;0.0
28292;Ouerre;306.0;0.0;63.0;12.0;58.0;0.0;3.0;66.0;72.0;9.0;0.0
28293;Oulins;429.0;1.0;54.0;5.0;43.0;0.0;2.0;148.0;111.0;10.0;0.0
28308;Prudemanche;90.0;0.0;7.0;4.0;12.0;0.0;0.0;35.0;26.0;5.0;0.0
28310;La Puisaye;83.0;1.0;16.0;5.0;19.0;0.0;2.0;35.0;22.0;6.0;0.0
28312;Puiseux;40.0;0.0;1.0;3.0;5.0;0.0;0.0;24.0;23.0;0.0;0.0
28314;Les Ressuintes;57.0;2.0;2.0;1.0;3.0;0.0;0.0;25.0;25.0;5.0;0.0
28315;Revercourt;16.0;0.0;0.0;0.0;5.0;0.0;0.0;6.0;7.0;1.0;0.0
28316;Rohaire;57.0;0.0;4.0;0.0;5.0;0.0;2.0;30.0;19.0;3.0;0.0
28321;Rouvres;279.0;3.0;68.0;8.0;59.0;0.0;7.0;108.0;78.0;12.0;0.0
28322;Rueil-la-Gadelière;176.0;2.0;14.0;2.0;33.0;0.0;2.0;50.0;53.0;8.0;0.0
28323;Saint-Ange-et-Torçay;115.0;0.0;21.0;4.0;14.0;0.0;0.0;55.0;26.0;3.0;0.0
28332;Sainte-Gemme-Moronval;377.0;1.0;72.0;7.0;99.0;0.0;2.0;69.0;94.0;24.0;0.0
28341;Saint-Jean-de-Rebervilliers;85.0;2.0;12.0;5.0;11.0;0.0;0.0;27.0;29.0;8.0;0.0
28346;Saint-Lubin-de-Cravant;25.0;0.0;1.0;1.0;9.0;0.0;1.0;13.0;4.0;1.0;0.0
28347;Saint-Lubin-de-la-Haye;334.0;0.0;66.0;19.0;66.0;0.0;6.0;88.0;81.0;23.0;0.0
28348;Saint-Lubin-des-Joncherets;1632.0;13.0;195.0;35.0;195.0;0.0;15.0;240.0;401.0;26.0;0.0
28351;Saint-Maixme-Hauterive;134.0;0.0;29.0;4.0;27.0;0.0;1.0;79.0;42.0;5.0;0.0
28355;Saint-Ouen-Marchefroy;102.0;2.0;19.0;8.0;46.0;0.0;1.0;60.0;19.0;3.0;0.0
28359;Saint-Rémy-sur-Avre;1475.0;7.0;177.0;22.0;177.0;0.0;19.0;165.0;378.0;39.0;0.0
28360;Saint-Sauveur-Marville;379.0;0.0;64.0;12.0;50.0;0.0;3.0;117.0;91.0;4.0;0.0
28368;La Saucelle;64.0;2.0;4.0;3.0;12.0;0.0;1.0;30.0;20.0;4.0;0.0
28369;Saulnières;304.0;1.0;30.0;8.0;30.0;0.0;3.0;58.0;61.0;4.0;0.0
28371;Saussay;374.0;2.0;57.0;11.0;41.0;0.0;10.0;99.0;107.0;9.0;0.0
28373;Senonches;1151.0;7.0;135.0;30.0;172.0;0.0;10.0;332.0;297.0;27.0;0.0
28374;Serazereux;204.0;2.0;29.0;3.0;12.0;0.0;0.0;44.0;68.0;5.0;0.0
28375;Serville;111.0;4.0;32.0;6.0;10.0;0.0;0.0;46.0;32.0;4.0;0.0
28377;Sorel-Moussel;716.0;5.0;121.0;14.0;100.0;0.0;6.0;194.0;165.0;27.0;0.0
28386;Thimert-Gâtelles;474.0;2.0;59.0;13.0;74.0;0.0;3.0;118.0;104.0;10.0;0.0
28393;Tremblay-les-Villages;800.0;3.0;87.0;20.0;80.0;0.0;8.0;275.0;197.0;22.0;0.0
28394;Tréon;573.0;7.0;76.0;7.0;69.0;0.0;5.0;153.0;129.0;24.0;0.0
28404;Vernouillet;5157.0;22.0;754.0;45.0;454.0;0.0;35.0;411.0;500.0;50.0;0.0
28405;Vert-en-Drouais;427.0;0.0;59.0;17.0;66.0;0.0;2.0;137.0;115.0;13.0;0.0
28006;Amilly;687.0;7.0;130.0;9.0;244.0;0.0;11.0;53.0;193.0;19.0;22.0
