CODGEO;LIBGEO;Abstention;Extrême-Gauche;LFI;PCF;PS;EELV;Divers Gauche;LREM;LR;Divers Droite;Debout la France;FN;Divers
70007;Ailloncourt;120.0;1.0;7.0;3.0;0.0;0.0;0.0;34.0;19.0;3.0;1.0;17.0;0.0
70008;Ainvelle;80.0;0.0;10.0;0.0;0.0;0.0;0.0;32.0;9.0;0.0;1.0;14.0;0.0
70010;Alaincourt;31.0;0.0;2.0;0.0;0.0;0.0;0.0;9.0;16.0;1.0;2.0;9.0;0.0
70011;Amage;83.0;1.0;28.0;2.0;0.0;3.0;0.0;65.0;28.0;4.0;3.0;36.0;0.0
70013;Ambiévillers;34.0;0.0;6.0;0.0;0.0;0.0;0.0;9.0;6.0;0.0;5.0;7.0;0.0
70014;Amblans-et-Velotte;115.0;0.0;21.0;1.0;0.0;1.0;0.0;65.0;11.0;6.0;2.0;32.0;0.0
70016;Amont-et-Effreney;69.0;2.0;8.0;0.0;0.0;1.0;0.0;32.0;15.0;5.0;3.0;7.0;0.0
70021;Andornay;79.0;0.0;11.0;1.0;0.0;1.0;0.0;20.0;9.0;3.0;5.0;10.0;0.0
70023;Anjeux;60.0;1.0;8.0;0.0;0.0;1.0;0.0;19.0;12.0;5.0;5.0;14.0;0.0
70029;Arpenans;74.0;1.0;9.0;2.0;0.0;1.0;0.0;27.0;21.0;5.0;4.0;24.0;1.0
70031;Athesans-Etroitefontaine;222.0;2.0;23.0;5.0;0.0;2.0;0.0;65.0;86.0;11.0;8.0;51.0;0.0
70038;Authoison;115.0;2.0;9.0;0.0;0.0;3.0;0.0;48.0;26.0;3.0;2.0;35.0;1.0
70040;Autrey-lès-Cerre;83.0;1.0;6.0;1.0;0.0;0.0;0.0;39.0;19.0;1.0;1.0;16.0;1.0
70042;Autrey-le-Vay;16.0;1.0;5.0;0.0;0.0;0.0;0.0;18.0;4.0;1.0;1.0;13.0;0.0
70046;Les Aynans;128.0;2.0;16.0;4.0;0.0;2.0;0.0;39.0;24.0;2.0;2.0;30.0;0.0
70050;La Barre;26.0;1.0;5.0;0.0;0.0;0.0;0.0;25.0;10.0;2.0;2.0;14.0;0.0
70052;Bassigney;55.0;0.0;8.0;0.0;0.0;0.0;0.0;17.0;9.0;1.0;4.0;21.0;0.0
70055;Baudoncourt;151.0;0.0;19.0;1.0;0.0;0.0;0.0;164.0;31.0;6.0;4.0;61.0;0.0
70059;Beaumotte-Aubertans;180.0;2.0;27.0;6.0;0.0;1.0;0.0;63.0;33.0;5.0;2.0;27.0;0.0
70061;Belfahy;32.0;0.0;5.0;0.0;0.0;1.0;0.0;27.0;5.0;2.0;1.0;5.0;0.0
70062;Belmont;36.0;2.0;11.0;1.0;0.0;2.0;0.0;38.0;11.0;1.0;2.0;5.0;0.0
70063;Belonchamp;84.0;0.0;14.0;2.0;0.0;1.0;0.0;25.0;9.0;2.0;1.0;20.0;0.0
70064;Belverne;65.0;2.0;10.0;3.0;0.0;0.0;0.0;14.0;0.0;2.0;3.0;7.0;0.0
70065;Besnans;20.0;0.0;2.0;0.0;0.0;0.0;0.0;11.0;1.0;2.0;1.0;15.0;0.0
70067;Betoncourt-lès-Brotte;15.0;3.0;7.0;0.0;0.0;0.0;0.0;22.0;1.0;2.0;2.0;10.0;0.0
70069;Betoncourt-Saint-Pancras;20.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;10.0;1.0;0.0;14.0;0.0
70071;Beulotte-Saint-Laurent;24.0;0.0;2.0;0.0;0.0;1.0;0.0;11.0;13.0;0.0;2.0;3.0;0.0
70072;Beveuge;25.0;0.0;0.0;2.0;0.0;0.0;0.0;14.0;10.0;0.0;0.0;5.0;0.0
70077;Borey;104.0;2.0;11.0;3.0;0.0;0.0;0.0;41.0;16.0;4.0;0.0;11.0;0.0
70081;Bouhans-lès-Lure;96.0;1.0;7.0;2.0;0.0;0.0;0.0;37.0;19.0;1.0;2.0;34.0;0.0
70082;Bouhans-lès-Montbozon;36.0;0.0;14.0;1.0;0.0;0.0;0.0;17.0;6.0;0.0;2.0;9.0;0.0
70083;Bouligney;177.0;0.0;10.0;0.0;0.0;0.0;0.0;66.0;39.0;3.0;4.0;36.0;0.0
70087;Bourguignon-lès-Conflans;46.0;1.0;6.0;0.0;0.0;0.0;0.0;24.0;10.0;0.0;4.0;12.0;0.0
70093;Breuches;284.0;3.0;16.0;1.0;0.0;2.0;0.0;105.0;48.0;7.0;6.0;57.0;0.0
70094;Breuchotte;123.0;3.0;11.0;6.0;0.0;0.0;0.0;44.0;13.0;3.0;2.0;17.0;0.0
70096;Brevilliers;198.0;2.0;37.0;9.0;0.0;1.0;0.0;98.0;19.0;11.0;7.0;71.0;4.0
70097;Briaucourt;82.0;2.0;25.0;2.0;0.0;2.0;0.0;38.0;35.0;4.0;0.0;13.0;0.0
70098;Brotte-lès-Luxeuil;54.0;0.0;18.0;0.0;0.0;2.0;0.0;33.0;11.0;2.0;2.0;24.0;0.0
70103;La Bruyère;83.0;1.0;5.0;0.0;0.0;0.0;0.0;38.0;25.0;4.0;3.0;9.0;0.0
70111;Calmoutier;82.0;0.0;10.0;3.0;0.0;0.0;0.0;36.0;16.0;1.0;7.0;28.0;0.0
70113;Cenans;45.0;2.0;7.0;2.0;0.0;0.0;0.0;19.0;17.0;0.0;1.0;8.0;0.0
70115;Cerre-lès-Noroy;93.0;0.0;7.0;0.0;0.0;0.0;0.0;26.0;34.0;0.0;0.0;18.0;0.0
70116;Chagey;232.0;1.0;47.0;11.0;0.0;2.0;0.0;82.0;28.0;11.0;9.0;50.0;0.0
70117;Châlonvillars;466.0;6.0;77.0;1.0;0.0;1.0;0.0;170.0;83.0;8.0;19.0;104.0;0.0
70120;Champagney;1588.0;20.0;145.0;16.0;0.0;7.0;0.0;338.0;78.0;34.0;19.0;256.0;1.0
70121;Champey;346.0;4.0;43.0;7.0;0.0;3.0;0.0;114.0;26.0;12.0;6.0;69.0;0.0
70128;La Chapelle-lès-Luxeuil;171.0;1.0;14.0;0.0;0.0;0.0;0.0;63.0;23.0;3.0;2.0;50.0;0.0
70137;Chassey-lès-Montbozon;87.0;3.0;14.0;2.0;0.0;0.0;0.0;38.0;15.0;2.0;0.0;19.0;2.0
70140;Châteney;13.0;0.0;8.0;0.0;0.0;0.0;0.0;7.0;7.0;1.0;0.0;6.0;0.0
70141;Châtenois;44.0;1.0;12.0;3.0;0.0;0.0;0.0;33.0;9.0;0.0;0.0;10.0;0.0
70147;Chavanne;89.0;1.0;14.0;4.0;0.0;1.0;0.0;26.0;13.0;1.0;3.0;12.0;0.0
70149;Chenebier;278.0;2.0;46.0;6.0;0.0;2.0;0.0;74.0;26.0;3.0;5.0;79.0;0.0
70155;Citers;330.0;3.0;40.0;8.0;0.0;3.0;0.0;101.0;42.0;6.0;5.0;87.0;0.0
70157;Clairegoutte;141.0;1.0;17.0;1.0;0.0;4.0;0.0;46.0;8.0;4.0;1.0;39.0;0.0
70159;Cognières;44.0;0.0;1.0;1.0;0.0;0.0;0.0;19.0;3.0;0.0;0.0;15.0;0.0
70160;Coisevaux;112.0;2.0;23.0;2.0;0.0;1.0;0.0;54.0;13.0;11.0;5.0;29.0;0.0
70162;Colombe-lès-Vesoul;163.0;0.0;26.0;5.0;0.0;0.0;0.0;83.0;45.0;5.0;4.0;42.0;0.0
70164;Colombotte;20.0;0.0;3.0;0.0;0.0;0.0;0.0;10.0;7.0;0.0;2.0;4.0;0.0
70168;Conflans-sur-Lanterne;228.0;1.0;33.0;2.0;0.0;0.0;0.0;66.0;80.0;8.0;8.0;48.0;0.0
70171;Corbenay;521.0;11.0;39.0;2.0;0.0;7.0;0.0;162.0;100.0;12.0;4.0;125.0;1.0
70172;La Corbière;35.0;0.0;5.0;1.0;0.0;0.0;0.0;18.0;6.0;0.0;2.0;10.0;0.0
70176;Corravillers;76.0;0.0;6.0;0.0;0.0;0.0;0.0;24.0;29.0;0.0;2.0;26.0;0.0
70178;La Côte;215.0;0.0;21.0;15.0;0.0;2.0;0.0;56.0;25.0;6.0;4.0;64.0;0.0
